word,log_odds
godzilla,-1.6819045080582216
dimensional,-1.6681694826528004
wannabe,-1.6652822871108082
dismal,-1.6633844200874235
shouldve,-1.6566585568991103
continuity,-1.6497570725436816
fake,-1.6482142951947143
wreck,-1.6474710109943476
blatantly,-1.644867128733692
seconds,-1.6414847159286163
iq,-1.6294370881640858
zero,-1.6294370881640858
dude,-1.6242004397979386
ha,-1.6223476633777665
unbelievable,-1.619383423500163
alright,-1.6127583470174556
bitten,-1.6115151801668235
sorry,-1.6111252098871442
bible,-1.6067170116640022
bmovies,-1.5999933102716037
sickening,-1.5919623827454232
recycled,-1.5899087239774485
oh,-1.5861643796983869
screaming,-1.578118310879106
retarded,-1.5749893041417096
clone,-1.5660117080224525
warn,-1.5620091606437954
renting,-1.559831620678219
idiot,-1.5597762101952022
unbelievably,-1.559047760272688
mins,-1.548947170303718
stilted,-1.5469749279721128
lacked,-1.5457791591171763
flat,-1.539776162548287
filler,-1.5380140604004913
bmovie,-1.5348002140260106
failed,-1.533859428181855
flop,-1.532139886809171
slightest,-1.5317404142769526
bore,-1.5310991689707933
predictable,-1.5228691868589979
bothered,-1.518405775775342
whining,-1.5184057757753417
offscreen,-1.5184057757753417
screw,-1.5165430317581527
hype,-1.51395987074415
paint,-1.5130275960487751
drab,-1.5084216872027199
zombie,-1.5020834704734094
bored,-1.5009448057091195
blame,-1.498046688140763
plastic,-1.4937819888065196
letdown,-1.4919335644141511
dump,-1.4902743404924605
contrived,-1.4899773674488248
disaster,-1.4868326927212856
snipes,-1.485047178828911
endless,-1.481338449174952
generous,-1.480059464125859
rave,-1.4758138990508742
cliches,-1.4758138990508742
screenwriters,-1.474462428187745
shark,-1.4727115844766328
minutes,-1.4725110098046927
gorilla,-1.471895811177606
wander,-1.4707393421450274
stretched,-1.4697804221756006
awfully,-1.4676860181674738
filth,-1.4648063863912866
boom,-1.4640134789567145
lazy,-1.463851022446111
toilet,-1.4622011742494136
drags,-1.4620860303855998
ruined,-1.4595120867217735
virus,-1.4595120867217735
overacting,-1.4535872527646683
madefortv,-1.452132556356176
offensive,-1.450731201179564
ta,-1.448864842522265
ok,-1.4458967148642747
skip,-1.4454742533214908
disgusting,-1.4430239639332045
exposition,-1.4418100849883146
clichs,-1.4388474245042355
simpson,-1.4387535265549762
onedimensional,-1.4208504663526684
stale,-1.420341489441096
walked,-1.4183547619650136
someones,-1.413013624621882
eaten,-1.412861993422952
promising,-1.412861993422952
cue,-1.4112569181145524
hollow,-1.4085281580029685
yelling,-1.4054722470088843
annoyed,-1.4048768301449277
breasts,-1.3999552420413186
chicks,-1.3967763313738106
selfindulgent,-1.3959469579443073
funding,-1.3940590252331575
yep,-1.3923978908632364
vampires,-1.3912773509693213
cheated,-1.3893030844403709
halfway,-1.3892025517034297
credibility,-1.386394157517758
unsatisfying,-1.3855115052779967
devoid,-1.3843245903275545
misfortune,-1.3843245903275545
paid,-1.384140959570495
loser,-1.3832765008946883
slap,-1.3832765008946883
skeleton,-1.3815095747205004
monster,-1.3766954373381255
steer,-1.3756804959183029
derivative,-1.3737822126958896
save,-1.3729569607819914
threw,-1.3704608989046456
franchise,-1.3664026823302922
subjected,-1.3664026823302917
alas,-1.3627456587222033
motivation,-1.3622148853668588
aliens,-1.3581350663466916
warned,-1.357262028473823
convenient,-1.357064817750956
sloppy,-1.3567525122965727
lacks,-1.3506822242085252
puppets,-1.349977134417181
ark,-1.3482553356200326
unnecessary,-1.3477870041629452
somebody,-1.3477870041629452
supposedly,-1.344707611230973
weak,-1.3428959294456622
nowhere,-1.342357208363641
guessed,-1.3389219459081851
tacky,-1.3386576918473876
rented,-1.33665533893624
imitation,-1.3339812046379147
rotten,-1.3339812046379143
ugly,-1.3333049941540611
cgi,-1.3332720893418055
mall,-1.332051177539515
seed,-1.332051177539515
decent,-1.3296441323201744
sounded,-1.3270284439961477
cabin,-1.3245825066356651
nerd,-1.3208058158901814
hoping,-1.3170527659475944
implausible,-1.3167275233061022
bunch,-1.3147927197370992
corman,-1.3136612202583187
clumsy,-1.313409594716408
christians,-1.3129634233688317
remove,-1.310368647415964
wandering,-1.3098191539639248
porn,-1.3081350271511114
originals,-1.3075089932767237
watchable,-1.3004195684904043
plain,-1.2977988683312687
werewolf,-1.2974553286128006
min,-1.2972406578228963
sat,-1.2971670490552645
token,-1.296861749077215
dinosaur,-1.293834056379647
wrestling,-1.2935021352828444
bat,-1.2892782561996372
unrealistic,-1.283085519337506
hire,-1.281513784743779
consists,-1.2810111910996476
nothing,-1.2790445972899518
okay,-1.2767467395060366
errors,-1.2736085866584328
throwing,-1.2729160534521828
barely,-1.2728070893928798
attempt,-1.2723343579693838
attract,-1.2722805049657422
cheese,-1.2691808746176239
messy,-1.2668670087793776
unbearable,-1.2668670087793776
airport,-1.2668670087793776
load,-1.2668670087793776
cringe,-1.2668670087793774
shouting,-1.2668670087793774
yeah,-1.2615920667387033
misguided,-1.2612859765160778
chopped,-1.2607924943696933
honestly,-1.2531691590498173
f,-1.2530612092543472
sake,-1.2516324950842173
ruins,-1.2501496138344441
shatner,-1.2480079815280616
artsy,-1.2444121579516816
holes,-1.242586815356476
terribly,-1.2359557322516896
bush,-1.235773239677809
absurd,-1.2354173701543252
apparently,-1.234374288646508
staring,-1.2339523863066424
tossed,-1.2321015906187012
money,-1.2313733858210971
chest,-1.230887711673811
hostage,-1.2303411327542637
stock,-1.2285576518819015
blair,-1.2250468330847506
splatter,-1.223444728488249
bo,-1.2175392964158094
explanation,-1.217113973582278
unexplained,-1.2143995888852421
barney,-1.214399588885242
mouths,-1.214399588885242
bargain,-1.214399588885242
milo,-1.214399588885242
bullets,-1.2119313332944923
stabbed,-1.209533833713426
cyborg,-1.209533833713426
aiming,-1.209533833713426
rip,-1.20562937925751
inexplicable,-1.2049392596361757
socalled,-1.200392730891363
banal,-1.1997528129208406
suppose,-1.1988027338342238
blatant,-1.1964776808879798
losers,-1.1964776808879796
scientist,-1.1961058043449002
couldnt,-1.1957839107178951
rampage,-1.1942217069476118
hoped,-1.1919049510981556
apes,-1.191315975772201
surgery,-1.191315975772201
miserable,-1.1905528469308742
creature,-1.1899050269644935
total,-1.1884194814931395
hated,-1.1863676532431384
biker,-1.185830436688471
resembling,-1.185830436688471
hopelessly,-1.18495581099276
swear,-1.1819781111928649
celluloid,-1.1819781111928649
mindless,-1.1819781111928647
shower,-1.178775679154521
rats,-1.178775679154521
grade,-1.1779575929171817
rental,-1.1779055748515577
script,-1.1750429602781907
overlong,-1.1712317297288686
logic,-1.1683462456050981
accents,-1.1674560872749664
vince,-1.167331335228463
unfortunately,-1.1668339056331862
overrated,-1.1631190839415488
repulsive,-1.1599518048628659
presumably,-1.1584307767400155
irrelevant,-1.1579326372262135
hack,-1.1576851978909208
whale,-1.1569493167013423
demon,-1.156949316701342
damme,-1.15598290265992
assuming,-1.1548985771365803
freddy,-1.1532509333602614
explained,-1.1486103287919287
clown,-1.145560712557244
switched,-1.144010260993844
cliche,-1.1440102609938438
jaws,-1.1423219108410745
bottom,-1.1392150774133394
endure,-1.1304478105527822
rat,-1.1302044614688136
flood,-1.1293634850294427
hour,-1.1245005149804999
makers,-1.1230844221392962
shoot,-1.1230436398170394
blank,-1.1224770994442028
lance,-1.1208254735730443
soso,-1.1204234406762281
hogan,-1.116624373198765
scooby,-1.116624373198765
indication,-1.1148639153343276
failure,-1.1144088782572579
prequel,-1.113187337526944
dollar,-1.1115887833014668
snl,-1.1100629290705066
pad,-1.1086049248626455
guess,-1.1085299816122773
cartoonish,-1.1067588656972722
gore,-1.1061781874681051
sums,-1.105875132107073
bela,-1.105875132107073
trashy,-1.1053568295899519
chick,-1.1045955798805005
freaking,-1.1033682764964983
lab,-1.102577542006498
jumped,-1.1010581158092971
burn,-1.0996161416353907
caricatures,-1.098922371465306
disbelief,-1.0926836804855495
thin,-1.0900371648233733
spent,-1.0894453465791902
noises,-1.088868706801383
paper,-1.0872242349022667
spree,-1.0851165719402756
ghoulies,-1.0851165719402756
cents,-1.0840029516295673
fx,-1.084002951629567
freak,-1.0829487352575653
figured,-1.0792400056036064
looked,-1.075318487021972
low,-1.0751713846658462
advice,-1.0704697959758742
silly,-1.0704030524334558
saving,-1.0698599058628433
elvis,-1.0675582005559712
advise,-1.0668424004713841
amounts,-1.0661696585422487
confuse,-1.0655362029707593
amitabh,-1.0655362029707593
convoluted,-1.0652331476097272
premise,-1.0650735486227962
clue,-1.0649386900026454
cow,-1.0649386900026454
naughty,-1.0643741448806348
almighty,-1.0633336146942456
romero,-1.0628531167577844
killings,-1.0626219341531893
schlock,-1.0619620141717707
dragged,-1.061348406007326
attacking,-1.06115332858956
natives,-1.0607763997720303
demonic,-1.0607763997720303
confusing,-1.0594249289089013
sleaze,-1.0585497726546524
cover,-1.0580575597158548
avoided,-1.0570746242225633
instead,-1.0544878534946134
tried,-1.054171086053294
outer,-1.0525569337407883
pc,-1.0444745874429298
unpleasant,-1.0444745874429298
button,-1.0444745874429298
misleading,-1.0444745874429298
stare,-1.0444745874429298
gimmick,-1.0444745874429298
wagner,-1.0444745874429295
axe,-1.0444745874429295
behave,-1.0444745874429295
mason,-1.0444745874429295
write,-1.0376533215869157
none,-1.0374768613181098
fat,-1.0371326121017614
slasher,-1.036583801823464
utterly,-1.0340954416629304
potentially,-1.0333340298377292
grave,-1.0319836432597327
phony,-1.0312991986951965
bronson,-1.031054071680608
diehard,-1.0305353964850559
assume,-1.0302607282232288
sequel,-1.0299750177478149
clueless,-1.0299750177478146
nudity,-1.029933261621536
minus,-1.0290445468733238
conclude,-1.025365764495225
sorely,-1.025365764495225
aircraft,-1.024845780693997
exit,-1.024845780693997
intro,-1.024845780693997
youd,-1.0245357403895987
lacking,-1.0242967055052994
stereotypical,-1.0213909743298886
chased,-1.0210156146189409
cheesy,-1.0119376525826391
scripts,-1.0103667331226658
raped,-1.0088506777122084
heck,-1.0069998820242667
roth,-1.0049462232562922
stick,-1.003832602945584
messed,-1.0030546600629489
experiments,-1.0030546600629489
mean,-1.0027139505670866
substance,-1.0004194073649941
dialog,-0.9973894513731886
frankly,-0.996160649662802
offended,-0.9955649869619834
agreed,-0.9920071675487939
werent,-0.9893330332504688
neither,-0.9887320355159332
strictly,-0.9886213527094123
saved,-0.9882304768033103
producers,-0.9875475193580943
heavyhanded,-0.9863716328793615
underwear,-0.9847683413186619
kills,-0.9823181113803604
garage,-0.9812807609557356
wouldve,-0.9784770286686896
mask,-0.9768765092921192
couldve,-0.9743961517067891
potential,-0.9739869799751534
rent,-0.9722462598877506
seriously,-0.9720325747742904
merit,-0.9695125297617074
reason,-0.9694169205605137
favor,-0.9664720754416565
whoever,-0.9648151382652793
corpse,-0.9630469880990837
tempted,-0.9620124272509569
wood,-0.9611462038440335
forest,-0.9606429966394591
terminator,-0.9600824001525572
ignorant,-0.9577629542495988
aim,-0.9570117461925902
teeth,-0.9554695813841849
downright,-0.9544644217103347
shirt,-0.9542767784713513
washed,-0.9513651830514482
bitch,-0.9513651830514482
flies,-0.9486145720354134
sit,-0.9449389138920152
destroying,-0.9439477114889652
lifted,-0.9439477114889652
snake,-0.9437805878234566
ham,-0.9425949734237162
promptly,-0.9406387764583899
z,-0.9406387764583899
secondly,-0.9395050278413872
wearing,-0.9390719068600188
gonna,-0.9382442613180072
disliked,-0.9375593835264175
psychic,-0.9375593835264175
steven,-0.9368656133563333
stomach,-0.93540288829546
freaks,-0.9352455176881712
problem,-0.9352285080846047
payoff,-0.9348500962684314
budget,-0.9336877789173061
gratuitous,-0.9330533047745064
least,-0.9321111529149596
conceived,-0.9319998581845172
sole,-0.931999858184517
cash,-0.9317449875821602
shaking,-0.9303035675236186
ripping,-0.9303035675236186
originality,-0.930015862858015
sinking,-0.9289973700229938
sticking,-0.9276609224601798
hammy,-0.9276609224601798
heres,-0.9260798866406993
immature,-0.9248929716902572
voiceover,-0.9231682912207961
gaps,-0.9224840630643192
goofy,-0.9223027174489855
crashes,-0.9216178396573962
empty,-0.9211649452757493
ghosts,-0.9201464524407278
reasonably,-0.9189437053590709
foolish,-0.9189437053590709
biblical,-0.9189437053590709
spider,-0.9189437053590709
santa,-0.9177825825270673
project,-0.9142520100343486
trace,-0.9123710514355846
alien,-0.9116389047358375
nun,-0.9088194880853634
writers,-0.9063282946732785
solely,-0.9059547233615017
vaguely,-0.9032985244822356
intentions,-0.9024555825705017
stuffed,-0.9011104122717523
btw,-0.9011104122717523
truck,-0.9006388148692783
explain,-0.898623720979475
endlessly,-0.8963759484537958
disgust,-0.8963759484537958
lower,-0.8900589599224887
frustrating,-0.8899646383873049
ninja,-0.8891963619650187
screenwriter,-0.8864097412106784
asian,-0.8864097412106784
god,-0.8859184000798148
looks,-0.8842223261807047
ultra,-0.8840099152496835
racist,-0.8814689999404078
half,-0.8800477785497957
dragons,-0.8794153411724333
throw,-0.8790996529784189
stiff,-0.8788885217249549
except,-0.8780951641943394
accent,-0.8779164370990159
van,-0.8779030211104272
bomb,-0.8778247180334783
failing,-0.8770178415913672
derek,-0.8758749834671846
idea,-0.8755044440941733
effort,-0.8748885252811354
childish,-0.8745495860006174
fury,-0.8745495860006174
assault,-0.8745495860006174
suspension,-0.8727082391764499
shaky,-0.8727082391764499
helicopter,-0.8720073914381641
reduced,-0.8709383324482382
wouldnt,-0.870837624267618
cameras,-0.8699768562107932
lack,-0.8693567718932169
sucker,-0.8675968253588505
hooker,-0.8675968253588505
sounding,-0.8655044463976106
blond,-0.8639023418011087
sadly,-0.8626962430482196
forgot,-0.8624767537000422
dinosaurs,-0.8620978449543609
skits,-0.8607626342705414
thrown,-0.8601607840924882
shut,-0.8591714848417018
dear,-0.8557129439877621
saying,-0.8554197934958533
killer,-0.8532767877100759
obligatory,-0.851829509500534
loosely,-0.8518295095005338
josh,-0.8518295095005338
christian,-0.8509669115430638
walking,-0.8497177330206819
guy,-0.8495376979925442
jesus,-0.846667804384755
woods,-0.8464563374016821
deaths,-0.8457549950908494
wasnt,-0.8443455161569281
stereotype,-0.8437772372058008
firstly,-0.8428407262732791
anything,-0.8422233041205962
bare,-0.8419817235441864
warrior,-0.841487565279075
plotting,-0.8409411933577974
positive,-0.8393024116243709
basically,-0.8388276637666557
removed,-0.8387259222263534
noise,-0.8373783532029931
ed,-0.8365949958053737
fail,-0.8365627528472233
stereotypes,-0.8346475472923427
deserve,-0.832618905534699
knife,-0.8321709837300655
complete,-0.8320391437405265
macbeth,-0.8314808641087315
reasonable,-0.8313006961358606
wondering,-0.8311542482188826
pretending,-0.8307678939727041
either,-0.828894812060714
dialogue,-0.8288317583152602
exorcist,-0.8287458963874925
hey,-0.8275943066933895
spoof,-0.8266289553753912
lowbudget,-0.8257024817851785
synopsis,-0.825464805501134
unrelated,-0.8246933795630196
glowing,-0.8246933795630196
flick,-0.8243302305128823
absent,-0.8240845190176294
bones,-0.8240845190176294
scream,-0.8227536555488527
wow,-0.8225517169782877
gabriel,-0.8220821661064818
naked,-0.8208913323278597
tired,-0.8203512780273656
filmmakers,-0.8202866524448673
plot,-0.8194662178994702
sellers,-0.8170640913398571
paying,-0.816522640764581
thugs,-0.816522640764581
mistake,-0.8153625683001134
handed,-0.8149927413201624
remake,-0.8141769680211356
equipment,-0.813590705212842
wanna,-0.8134690358017735
brain,-0.8133385330345057
overdone,-0.8131490413364743
conspiracy,-0.8120285014425587
sleep,-0.8119815761375118
wrong,-0.8113774657632397
possessed,-0.8109844572231513
thing,-0.8103728442477348
scary,-0.8100093338059067
predictably,-0.8100093338059067
fifteen,-0.8090965245120013
unsuspecting,-0.808034391620849
fest,-0.8069752737162733
fault,-0.8065311625719664
campy,-0.8060258198874087
basketball,-0.8048041746746462
seemed,-0.8047169136624145
dracula,-0.804523794722177
trees,-0.8043405837192146
obviously,-0.8040953872694464
computer,-0.8034664879391348
mouth,-0.8019042841688515
plague,-0.7993620896063981
outfit,-0.7993620896063981
effects,-0.7988973786856822
scare,-0.7986494716413589
jet,-0.7985643594003448
completely,-0.7984458018392434
computers,-0.7973817254781576
undead,-0.7973817254781576
asylum,-0.7965470739993441
wheel,-0.7965470739993441
category,-0.7962155342895342
nut,-0.7954470396030151
commercials,-0.7944963344345821
vague,-0.7944963344345821
dubbing,-0.7936664839423953
previews,-0.7929358204469653
explaining,-0.7924953701181314
please,-0.7920717333390224
linda,-0.7917085170629629
research,-0.7903733063791434
torture,-0.7901199373015494
exercise,-0.7899017603573322
bucks,-0.7899017603573322
switch,-0.7899017603573318
mentioning,-0.789545231246191
franco,-0.7889153021712825
acting,-0.788883702635406
stopped,-0.7887728278436051
goodlooking,-0.7886356830133399
pretends,-0.788134834183144
lit,-0.7859415738440766
execution,-0.7857403190427614
editing,-0.7857164205039628
jerk,-0.781440181609136
tunnel,-0.781440181609136
makeup,-0.7794419887122926
fish,-0.7792359106824058
theyd,-0.7784928975587991
tame,-0.7775357271532197
scares,-0.7767788042392729
minimum,-0.7767788042392729
someone,-0.7762593010261182
lesbian,-0.7757714315224438
sitting,-0.7745124610180658
satan,-0.7741168408032769
equivalent,-0.772395042006129
purpose,-0.7723091698570075
size,-0.7721023170297996
obvious,-0.770973182558067
sequels,-0.7707137750160774
pretend,-0.7707137750160774
screwed,-0.7696147462123463
scientists,-0.7669406119140209
conan,-0.7653205162458588
killed,-0.7651657580016289
spoiler,-0.76414739702234
sum,-0.7639224203511061
aint,-0.7629042301717083
aforementioned,-0.7620748567422048
hell,-0.7620023795353427
kill,-0.760612462263931
ape,-0.7594976287284589
hybrid,-0.7590723685806814
imdb,-0.756987137884597
convince,-0.7565490060674251
corpses,-0.7563492006463054
anyones,-0.7549679702479448
acid,-0.7549679702479448
akshay,-0.7549679702479448
jokes,-0.7536164993848157
channel,-0.753075290355774
lake,-0.7528710294123648
clothes,-0.7528195036693679
imaginable,-0.7516928382150838
rome,-0.7507433843862193
shopping,-0.7497313218817976
evidently,-0.7497313218817976
theyre,-0.7495857453079197
misses,-0.7490187039167584
attempts,-0.7490187039167582
tries,-0.7477195637651346
value,-0.7455076409988786
hallmark,-0.7449143055840218
hello,-0.7449143055840218
claiming,-0.7449143055840218
exploit,-0.7449143055840218
austen,-0.7430938699596531
leather,-0.7424460499932722
weapons,-0.742446049993272
resort,-0.7415474544856233
dialogues,-0.7396200059145087
giant,-0.7394817836350364
fill,-0.7391293767511715
walk,-0.7375396954734615
ears,-0.7372930779247538
insults,-0.7363522920805979
exceptions,-0.735146529335201
thinking,-0.7342369030785927
didnt,-0.7342121914977063
expects,-0.7335454915048244
warning,-0.7330134916066361
gag,-0.7330134916066361
whatever,-0.7316257864664294
intentional,-0.7303659970148665
disastrous,-0.7303659970148665
reel,-0.7284470939952516
review,-0.7280891554799999
incapable,-0.7267342895190008
setup,-0.7261131075757596
deaf,-0.7259450690174324
checked,-0.7254061466948081
guns,-0.7243854922193486
finishing,-0.7225464925555672
mtv,-0.722546492555567
somewhere,-0.7214976411528536
judging,-0.7203455843622963
otherwise,-0.7202763189307403
softcore,-0.7198523833863043
lock,-0.7193792134768843
dollars,-0.7192837055465667
nose,-0.7190743006487623
relevance,-0.7182463551219416
formulaic,-0.7173098441894202
else,-0.7169595658586762
agenda,-0.716420389758726
wonder,-0.716362031849979
bag,-0.7161487213574168
disappointed,-0.7147691419638481
asking,-0.714325985750599
physics,-0.714325985750599
severely,-0.7136500920671712
supply,-0.7118992483560588
base,-0.7098105046281059
swearing,-0.7092903958533006
carradine,-0.7086073015976934
decided,-0.7080191121397664
friday,-0.7079491163426092
even,-0.7078468121495941
experiment,-0.7074396001653591
hip,-0.7066049486865458
killing,-0.7044335370785993
drop,-0.7037692855249394
wet,-0.7034376696078627
sick,-0.7015868739199213
spend,-0.7011151120240562
cg,-0.7005201862255683
dragon,-0.7000290559941398
victims,-0.6993391013942423
drunk,-0.699339101394242
commenting,-0.699339101394242
destroys,-0.6989780214171629
theres,-0.6973068499793249
debbie,-0.6965512840226229
kidnap,-0.6965512840226227
whats,-0.6953115001815977
defense,-0.6945321163859707
spends,-0.6940900465063393
improve,-0.6930022169415517
destroyed,-0.6911139847189104
hunters,-0.6908376328282293
dialogs,-0.6888909383743285
blood,-0.6887581790992839
christianity,-0.6883307772176543
jill,-0.6883307772176543
spending,-0.6877810743948908
spark,-0.6873180042445859
beer,-0.6871525860203731
clock,-0.6869225828248461
suffers,-0.6845786423565466
hardly,-0.6844961059544025
infected,-0.6838848721864624
vulgar,-0.6838848721864624
pass,-0.6838848721864622
mentions,-0.6835928582109914
brains,-0.6830750517661591
flicks,-0.6822764804828394
minute,-0.6822705349638735
remakes,-0.6819045080582212
legs,-0.6809673888041679
aimed,-0.6807839681643061
landing,-0.6803182571662697
youtube,-0.6797102946453094
distracting,-0.6791901233611852
weapon,-0.6783466886450324
superficial,-0.6779356058552757
care,-0.6779125435829154
melting,-0.6776922567713068
slaves,-0.6767428029424428
dry,-0.6758299936485371
dirt,-0.6741061374978142
lugosi,-0.6734922682420211
stalking,-0.6725058100559718
eternity,-0.6725058100559718
survivor,-0.6725058100559718
destroy,-0.6696261782797848
excited,-0.669435156096005
camera,-0.6684978495070717
armed,-0.6679112359787215
anybody,-0.667572217050857
lees,-0.6674049383631064
writing,-0.6669507732253188
sex,-0.6667220776194417
crazed,-0.6659629641892
spare,-0.6659629641892
chuckle,-0.6646265166263858
flashes,-0.6646265166263858
tree,-0.6636528035019991
pale,-0.6633844200874234
minimal,-0.6630454808069056
millions,-0.6627956851105167
advertised,-0.6626039520992851
forgiven,-0.6626039520992851
curse,-0.6606880221485255
gun,-0.6599535146871501
holy,-0.6581198428681709
damn,-0.6574514643336826
sentence,-0.6574514643336823
footage,-0.656369415951084
nobody,-0.6552770930993456
trying,-0.65518009932887
refer,-0.6545280691269162
maybe,-0.653675479644482
concept,-0.6533462317725167
